Date,t,Season,spot,Lag 1 Series,Lag 2 Series
Apr-84,136,Apr,1.421,1.4557,1.4417
May-84,137,May,1.3894,1.421,1.4557
Jun-84,138,Jun,1.377,1.3894,1.421
Jul-84,139,Jul,1.32,1.377,1.3894
Aug-84,140,Aug,1.3132,1.32,1.377
Sep-84,141,Sep,1.2563,1.3132,1.32
Oct-84,142,Oct,1.2196,1.2563,1.3132
Nov-84,143,Nov,1.2392,1.2196,1.2563
Dec-84,144,Dec,1.1861,1.2392,1.2196
Jan-85,145,Jan,1.1271,1.1861,1.2392
Feb-85,146,Feb,1.0931,1.1271,1.1861
Mar-85,147,Mar,1.1253,1.0931,1.1271
Apr-85,148,Apr,1.2377,1.1253,1.0931
May-85,149,May,1.2483,1.2377,1.1253
Jun-85,150,Jun,1.2808,1.2483,1.2377
Jul-85,151,Jul,1.3807,1.2808,1.2483
Aug-85,152,Aug,1.3841,1.3807,1.2808
Sep-85,153,Sep,1.3642,1.3841,1.3807
Oct-85,154,Oct,1.4215,1.3642,1.3841
Nov-85,155,Nov,1.4396,1.4215,1.3642
Dec-85,156,Dec,1.4447,1.4396,1.4215
Jan-86,157,Jan,1.4244,1.4447,1.4396
Feb-86,158,Feb,1.4297,1.4244,1.4447
Mar-86,159,Mar,1.4674,1.4297,1.4244
Apr-86,160,Apr,1.4985,1.4674,1.4297
May-86,161,May,1.5211,1.4985,1.4674
Jun-86,162,Jun,1.5085,1.5211,1.4985
Jul-86,163,Jul,1.5071,1.5085,1.5211
Aug-86,164,Aug,1.4861,1.5071,1.5085
Sep-86,165,Sep,1.4698,1.4861,1.5071
Oct-86,166,Oct,1.4264,1.4698,1.4861
Nov-86,167,Nov,1.4238,1.4264,1.4698
Dec-86,168,Dec,1.4393,1.4238,1.4264
Jan-87,169,Jan,1.5054,1.4393,1.4238
Feb-87,170,Feb,1.528,1.5054,1.4393
Mar-87,171,Mar,1.5923,1.528,1.5054
Apr-87,172,Apr,1.6313,1.5923,1.528
May-87,173,May,1.6666,1.6313,1.5923
Jun-87,174,Jun,1.6288,1.6666,1.6313
Jul-87,175,Jul,1.609,1.6288,1.6666
Aug-87,176,Aug,1.5996,1.609,1.6288
Sep-87,177,Sep,1.6446,1.5996,1.609
Oct-87,178,Oct,1.662,1.6446,1.5996
Nov-87,179,Nov,1.7754,1.662,1.6446
Dec-87,180,Dec,1.8288,1.7754,1.662
Jan-88,181,Jan,1.8009,1.8288,1.7754
Feb-88,182,Feb,1.7582,1.8009,1.8288
Mar-88,183,Mar,1.833,1.7582,1.8009
Apr-88,184,Apr,1.8782,1.833,1.7582
May-88,185,May,1.8695,1.8782,1.833
Jun-88,186,Jun,1.7768,1.8695,1.8782
Jul-88,187,Jul,1.7051,1.7768,1.8695
Aug-88,188,Aug,1.6965,1.7051,1.7768
Sep-88,189,Sep,1.684,1.6965,1.7051
Oct-88,190,Oct,1.7388,1.684,1.6965
Nov-88,191,Nov,1.8085,1.7388,1.684
Dec-88,192,Dec,1.8258,1.8085,1.7388
Jan-89,193,Jan,1.7737,1.8258,1.8085
Feb-89,194,Feb,1.7534,1.7737,1.8258
Mar-89,195,Mar,1.7134,1.7534,1.7737
Apr-89,196,Apr,1.7008,1.7134,1.7534
May-89,197,May,1.6307,1.7008,1.7134
Jun-89,198,Jun,1.553,1.6307,1.7008
Jul-89,199,Jul,1.6268,1.553,1.6307
Aug-89,200,Aug,1.5947,1.6268,1.553
Sep-89,201,Sep,1.5715,1.5947,1.6268
Oct-89,202,Oct,1.5874,1.5715,1.5947
Nov-89,203,Nov,1.5726,1.5874,1.5715
Dec-89,204,Dec,1.5965,1.5726,1.5874
Jan-90,205,Jan,1.6512,1.5965,1.5726
Feb-90,206,Feb,1.6961,1.6512,1.5965
Mar-90,207,Mar,1.6245,1.6961,1.6512
Apr-90,208,Apr,1.6372,1.6245,1.6961
May-90,209,May,1.6774,1.6372,1.6245
Jun-90,210,Jun,1.7103,1.6774,1.6372
Jul-90,211,Jul,1.8098,1.7103,1.6774
Aug-90,212,Aug,1.9013,1.8098,1.7103
Sep-90,213,Sep,1.8794,1.9013,1.8098
Oct-90,214,Oct,1.9456,1.8794,1.9013
Nov-90,215,Nov,1.9642,1.9456,1.8794
Dec-90,216,Dec,1.9219,1.9642,1.9456
Jan-91,217,Jan,1.9346,1.9219,1.9642
Feb-91,218,Feb,1.9641,1.9346,1.9219
Mar-91,219,Mar,1.8214,1.9641,1.9346
Apr-91,220,Apr,1.7497,1.8214,1.9641
May-91,221,May,1.7238,1.7497,1.8214
Jun-91,222,Jun,1.6497,1.7238,1.7497
Jul-91,223,Jul,1.6513,1.6497,1.7238
Aug-91,224,Aug,1.6841,1.6513,1.6497
Sep-91,225,Sep,1.7265,1.6841,1.6513
Oct-91,226,Oct,1.7231,1.7265,1.6841
Nov-91,227,Nov,1.7796,1.7231,1.7265
Dec-91,228,Dec,1.8272,1.7796,1.7231
Jan-92,229,Jan,1.809,1.8272,1.7796
Feb-92,230,Feb,1.7778,1.809,1.8272
Mar-92,231,Mar,1.7238,1.7778,1.809
Apr-92,232,Apr,1.7566,1.7238,1.7778
May-92,233,May,1.8095,1.7566,1.7238
Jun-92,234,Jun,1.8551,1.8095,1.7566
Jul-92,235,Jul,1.9177,1.8551,1.8095
Aug-92,236,Aug,1.9434,1.9177,1.8551
Sep-92,237,Sep,1.8465,1.9434,1.9177
Oct-92,238,Oct,1.6529,1.8465,1.9434
Nov-92,239,Nov,1.5268,1.6529,1.8465
Dec-92,240,Dec,1.551,1.5268,1.6529
Jan-93,241,Jan,1.5325,1.551,1.5268
Feb-93,242,Feb,1.4395,1.5325,1.551
Mar-93,243,Mar,1.4617,1.4395,1.5325
Apr-93,244,Apr,1.5447,1.4617,1.4395
May-93,245,May,1.5477,1.5447,1.4617
Jun-93,246,Jun,1.5082,1.5477,1.5447
Jul-93,247,Jul,1.4955,1.5082,1.5477
Aug-93,248,Aug,1.4914,1.4955,1.5082
Sep-93,249,Sep,1.5248,1.4914,1.4955
Oct-93,250,Oct,1.5023,1.5248,1.4914
Nov-93,251,Nov,1.4808,1.5023,1.5248
Dec-93,252,Dec,1.4913,1.4808,1.5023
Jan-94,253,Jan,1.4923,1.4913,1.4808
Feb-94,254,Feb,1.4792,1.4923,1.4913
Mar-94,255,Mar,1.4919,1.4792,1.4923
Apr-94,256,Apr,1.4823,1.4919,1.4792
May-94,257,May,1.5042,1.4823,1.4919
Jun-94,258,Jun,1.5262,1.5042,1.4823
Jul-94,259,Jul,1.5467,1.5262,1.5042
Aug-94,260,Aug,1.5422,1.5467,1.5262
Sep-94,261,Sep,1.5661,1.5422,1.5467
Oct-94,262,Oct,1.6064,1.5661,1.5422
Nov-94,263,Nov,1.5892,1.6064,1.5661
Dec-94,264,Dec,1.5587,1.5892,1.6064
Jan-95,265,Jan,1.5746,1.5587,1.5892
Feb-95,266,Feb,1.572,1.5746,1.5587
Mar-95,267,Mar,1.6002,1.572,1.5746
Apr-95,268,Apr,1.6073,1.6002,1.572
May-95,269,May,1.5874,1.6073,1.6002
Jun-95,270,Jun,1.5948,1.5874,1.6073
Jul-95,271,Jul,1.5952,1.5948,1.5874
Aug-95,272,Aug,1.5668,1.5952,1.5948
Sep-95,273,Sep,1.559,1.5668,1.5952
Oct-95,274,Oct,1.5779,1.559,1.5668
Nov-95,275,Nov,1.5625,1.5779,1.559
Dec-95,276,Dec,1.5405,1.5625,1.5779
Jan-96,277,Jan,1.5288,1.5405,1.5625
Feb-96,278,Feb,1.536,1.5288,1.5405
Mar-96,279,Mar,1.5271,1.536,1.5288
Apr-96,280,Apr,1.516,1.5271,1.536
May-96,281,May,1.5152,1.516,1.5271
Jun-96,282,Jun,1.5416,1.5152,1.516
Jul-96,283,Jul,1.553,1.5416,1.5152
Aug-96,284,Aug,1.5499,1.553,1.5416
Sep-96,285,Sep,1.5593,1.5499,1.553
Oct-96,286,Oct,1.5863,1.5593,1.5499
Nov-96,287,Nov,1.6623,1.5863,1.5593
Dec-96,288,Dec,1.6639,1.6623,1.5863
Jan-97,289,Jan,1.6585,1.6639,1.6623
Feb-97,290,Feb,1.6256,1.6585,1.6639
Mar-97,291,Mar,1.6096,1.6256,1.6585
Apr-97,292,Apr,1.6293,1.6096,1.6256
May-97,293,May,1.6322,1.6293,1.6096
Jun-97,294,Jun,1.6449,1.6322,1.6293
Jul-97,295,Jul,1.6694,1.6449,1.6322
Aug-97,296,Aug,1.6035,1.6694,1.6449
Sep-97,297,Sep,1.6013,1.6035,1.6694
Oct-97,298,Oct,1.633,1.6013,1.6035
Nov-97,299,Nov,1.6889,1.633,1.6013
Dec-97,300,Dec,1.6597,1.6889,1.633
Jan-98,301,Jan,1.635,1.6597,1.6889
Feb-98,302,Feb,1.6408,1.635,1.6597
Mar-98,303,Mar,1.6619,1.6408,1.635
Apr-98,304,Apr,1.6723,1.6619,1.6408
May-98,305,May,1.6382,1.6723,1.6619
Jun-98,306,Jun,1.6504,1.6382,1.6723
Jul-98,307,Jul,1.6437,1.6504,1.6382
Aug-98,308,Aug,1.6342,1.6437,1.6504
Sep-98,309,Sep,1.6823,1.6342,1.6437
Oct-98,310,Oct,1.6944,1.6823,1.6342
Nov-98,311,Nov,1.6611,1.6944,1.6823
Dec-98,312,Dec,1.6708,1.6611,1.6944
Jan-99,313,Jan,1.6498,1.6708,1.6611
Feb-99,314,Feb,1.6276,1.6498,1.6708
Mar-99,315,Mar,1.6213,1.6276,1.6498
Apr-99,316,Apr,1.6089,1.6213,1.6276
May-99,317,May,1.6154,1.6089,1.6213
Jun-99,318,Jun,1.595,1.6154,1.6089
Jul-99,319,Jul,1.5751,1.595,1.6154
Aug-99,320,Aug,1.6058,1.5751,1.595
Sep-99,321,Sep,1.6247,1.6058,1.5751
Oct-99,322,Oct,1.6572,1.6247,1.6058
Nov-99,323,Nov,1.6205,1.6572,1.6247
Dec-99,324,Dec,1.6132,1.6205,1.6572
Jan-00,325,Jan,1.6404,1.6132,1.6205
Feb-00,326,Feb,1.6,1.6404,1.6132
Mar-00,327,Mar,1.5799,1.6,1.6404
Apr-00,328,Apr,1.5823,1.5799,1.6
May-00,329,May,1.509,1.5823,1.5799
Jun-00,330,Jun,1.5092,1.509,1.5823
Jul-00,331,Jul,1.5076,1.5092,1.509
Aug-00,332,Aug,1.4889,1.5076,1.5092
Sep-00,333,Sep,1.4336,1.4889,1.5076
Oct-00,334,Oct,1.4506,1.4336,1.4889
Nov-00,335,Nov,1.4258,1.4506,1.4336
Dec-00,336,Dec,1.4629,1.4258,1.4506
Jan-01,337,Jan,1.4775,1.4629,1.4258
Feb-01,338,Feb,1.4525,1.4775,1.4629
Mar-01,339,Mar,1.4445,1.4525,1.4775
Apr-01,340,Apr,1.4348,1.4445,1.4525
May-01,341,May,1.4265,1.4348,1.4445
Jun-01,342,Jun,1.402,1.4265,1.4348
Jul-01,343,Jul,1.4148,1.402,1.4265
Aug-01,344,Aug,1.4372,1.4148,1.402
Sep-01,345,Sep,1.4638,1.4372,1.4148
Oct-01,346,Oct,1.4501,1.4638,1.4372
Nov-01,347,Nov,1.4356,1.4501,1.4638
Dec-01,348,Dec,1.4413,1.4356,1.4501
Jan-02,349,Jan,1.4322,1.4413,1.4356
Feb-02,350,Feb,1.4227,1.4322,1.4413
Mar-02,351,Mar,1.423,1.4227,1.4322
Apr-02,352,Apr,1.4429,1.423,1.4227
May-02,353,May,1.4598,1.4429,1.423
Jun-02,354,Jun,1.4837,1.4598,1.4429
Jul-02,355,Jul,1.5565,1.4837,1.4598
Aug-02,356,Aug,1.5368,1.5565,1.4837
Sep-02,357,Sep,1.5563,1.5368,1.5565
Oct-02,358,Oct,1.5575,1.5563,1.5368
Nov-02,359,Nov,1.5711,1.5575,1.5563
Dec-02,360,Dec,1.5863,1.5711,1.5575
Jan-03,361,Jan,1.6175,1.5863,1.5711
Feb-03,362,Feb,1.6079,1.6175,1.5863
Mar-03,363,Mar,1.5825,1.6079,1.6175
Apr-03,364,Apr,1.5739,1.5825,1.6079
May-03,365,May,1.6224,1.5739,1.5825
Jun-03,366,Jun,1.6609,1.6224,1.5739
Jul-03,367,Jul,1.6221,1.6609,1.6224
Aug-03,368,Aug,1.5939,1.6221,1.6609
Sep-03,369,Sep,1.6155,1.5939,1.6221
Oct-03,370,Oct,1.6792,1.6155,1.5939
Nov-03,371,Nov,1.6897,1.6792,1.6155
Dec-03,372,Dec,1.7516,1.6897,1.6792
Jan-04,373,Jan,1.8255,1.7516,1.6897
Feb-04,374,Feb,1.8673,1.8255,1.7516
Mar-04,375,Mar,1.8261,1.8673,1.8255
Apr-04,376,Apr,1.8031,1.8261,1.8673
May-04,377,May,1.786,1.8031,1.8261
Jun-04,378,Jun,1.8279,1.786,1.8031
Jul-04,379,Jul,1.8438,1.8279,1.786
Aug-04,380,Aug,1.8203,1.8438,1.8279
Sep-04,381,Sep,1.7937,1.8203,1.8438
Oct-04,382,Oct,1.8077,1.7937,1.8203
Nov-04,383,Nov,1.8607,1.8077,1.7937
Dec-04,384,Dec,1.9286,1.8607,1.8077
Jan-05,385,Jan,1.8797,1.9286,1.8607
Feb-05,386,Feb,1.8871,1.8797,1.9286
Mar-05,387,Mar,1.9043,1.8871,1.8797
Apr-05,388,Apr,1.8961,1.9043,1.8871
May-05,389,May,1.8559,1.8961,1.9043
Jun-05,390,Jun,1.8177,1.8559,1.8961
Jul-05,391,Jul,1.7507,1.8177,1.8559
Aug-05,392,Aug,1.7944,1.7507,1.8177
Sep-05,393,Sep,1.8064,1.7944,1.7507
Oct-05,394,Oct,1.7651,1.8064,1.7944
Nov-05,395,Nov,1.7349,1.7651,1.8064
Dec-05,396,Dec,1.7458,1.7349,1.7651
Jan-06,397,Jan,1.7686,1.7458,1.7349
Feb-06,398,Feb,1.748,1.7686,1.7458
Mar-06,399,Mar,1.7442,1.748,1.7686
Apr-06,400,Apr,1.768,1.7442,1.748
May-06,401,May,1.8687,1.768,1.7442
Jun-06,402,Jun,1.8435,1.8687,1.768
Jul-06,403,Jul,1.8443,1.8435,1.8687
Aug-06,404,Aug,1.8941,1.8443,1.8435
Sep-06,405,Sep,1.8839,1.8941,1.8443
Oct-06,406,Oct,1.8765,1.8839,1.8941
Nov-06,407,Nov,1.9125,1.8765,1.8839
Dec-06,408,Dec,1.9629,1.9125,1.8765
Jan-07,409,Jan,1.9587,1.9629,1.9125
Feb-07,410,Feb,1.9589,1.9587,1.9629
Mar-07,411,Mar,1.9474,1.9589,1.9587
Apr-07,412,Apr,1.9879,1.9474,1.9589
May-07,413,May,1.9842,1.9879,1.9474
Jun-07,414,Jun,1.9867,1.9842,1.9879
Jul-07,415,Jul,2.0355,1.9867,1.9842
Aug-07,416,Aug,2.011,2.0355,1.9867
Sep-07,417,Sep,2.0184,2.011,2.0355
Oct-07,418,Oct,2.0449,2.0184,2.011
Nov-07,419,Nov,2.0701,2.0449,2.0184
Dec-07,420,Dec,2.0161,2.0701,2.0449
Jan-08,421,Jan,1.9702,2.0161,2.0701
Feb-08,422,Feb,1.9646,1.9702,2.0161
Mar-08,423,Mar,2.0015,1.9646,1.9702
Apr-08,424,Apr,1.9816,2.0015,1.9646
May-08,425,May,1.965,1.9816,2.0015
Jun-08,426,Jun,1.9664,1.965,1.9816
Jul-08,427,Jul,1.9888,1.9664,1.965
Aug-08,428,Aug,1.8865,1.9888,1.9664
Sep-08,429,Sep,1.7973,1.8865,1.9888
Oct-08,430,Oct,1.6862,1.7973,1.8865
Nov-08,431,Nov,1.5327,1.6862,1.7973
Dec-08,432,Dec,1.4854,1.5327,1.6862
Jan-09,433,Jan,1.4462,1.4854,1.5327
Feb-09,434,Feb,1.4422,1.4462,1.4854
Mar-09,435,Mar,1.417,1.4422,1.4462
Apr-09,436,Apr,1.4712,1.417,1.4422
May-09,437,May,1.5418,1.4712,1.417
Jun-09,438,Jun,1.6369,1.5418,1.4712
Jul-09,439,Jul,1.6378,1.6369,1.5418
Aug-09,440,Aug,1.6532,1.6378,1.6369
Sep-09,441,Sep,1.6323,1.6532,1.6378
Oct-09,442,Oct,1.6212,1.6323,1.6532
Nov-09,443,Nov,1.6599,1.6212,1.6323
Dec-09,444,Dec,1.6226,1.6599,1.6212
Jan-10,445,Jan,1.6158,1.6226,1.6599
Feb-10,446,Feb,1.5618,1.6158,1.6226
Mar-10,447,Mar,1.5058,1.5618,1.6158
Apr-10,448,Apr,1.5332,1.5058,1.5618
May-10,449,May,1.4669,1.5332,1.5058
Jun-10,450,Jun,1.4768,1.4669,1.5332
Jul-10,451,Jul,1.5304,1.4768,1.4669
Aug-10,452,Aug,1.5661,1.5304,1.4768
Sep-10,453,Sep,1.5591,1.5661,1.5304
Oct-10,454,Oct,1.5867,1.5591,1.5661
Nov-10,455,Nov,1.5961,1.5867,1.5591
Dec-10,456,Dec,1.5595,1.5961,1.5867
Jan-11,457,Jan,1.5782,1.5595,1.5961
Feb-11,458,Feb,1.6124,1.5782,1.5595
Mar-11,459,Mar,1.6159,1.6124,1.5782
Apr-11,460,Apr,1.6379,1.6159,1.6124
May-11,461,May,1.6332,1.6379,1.6159
Jun-11,462,Jun,1.6219,1.6332,1.6379
Jul-11,463,Jul,1.6158,1.6219,1.6332
Aug-11,464,Aug,1.6356,1.6158,1.6219
Sep-11,465,Sep,1.5771,1.6356,1.6158
Oct-11,466,Oct,1.5768,1.5771,1.6356
Nov-11,467,Nov,1.5806,1.5768,1.5771
Dec-11,468,Dec,1.5587,1.5806,1.5768
Jan-12,469,Jan,1.5524,1.5587,1.5806
Feb-12,470,Feb,1.5804,1.5524,1.5587
Mar-12,471,Mar,1.5824,1.5804,1.5524
Apr-12,472,Apr,1.6,1.5824,1.5804
May-12,473,May,1.5924,1.6,1.5824
Jun-12,474,Jun,1.5556,1.5924,1.6
Jul-12,475,Jul,1.5593,1.5556,1.5924
Aug-12,476,Aug,1.5722,1.5593,1.5556
Sep-12,477,Sep,1.6126,1.5722,1.5593
Oct-12,478,Oct,1.608,1.6126,1.5722
Nov-12,479,Nov,1.5968,1.608,1.6126
Dec-12,480,Dec,1.6145,1.5968,1.608
Jan-13,481,Jan,1.5965,1.6145,1.5968
Feb-13,482,Feb,1.5474,1.5965,1.6145
Mar-13,483,Mar,1.508,1.5474,1.5965
Apr-13,484,Apr,1.5311,1.508,1.5474
May-13,485,May,1.5297,1.5311,1.508
Jun-13,486,Jun,1.5493,1.5297,1.5311
Jul-13,487,Jul,1.5179,1.5493,1.5297
Aug-13,488,Aug,1.5505,1.5179,1.5493
Sep-13,489,Sep,1.5885,1.5505,1.5179
Oct-13,490,Oct,1.6098,1.5885,1.5505
Nov-13,491,Nov,1.61,1.6098,1.5885
Dec-13,492,Dec,1.6383,1.61,1.6098
Jan-14,493,Jan,1.647,1.6383,1.61
Feb-14,494,Feb,1.6558,1.647,1.6383
Mar-14,495,Mar,1.6624,1.6558,1.647
Apr-14,496,Apr,1.6748,1.6624,1.6558
May-14,497,May,1.6842,1.6748,1.6624
Jun-14,498,Jun,1.6908,1.6842,1.6748
Jul-14,499,Jul,1.7066,1.6908,1.6842
Aug-14,500,Aug,1.67,1.7066,1.6908
Sep-14,501,Sep,1.629,1.67,1.7066
Oct-14,502,Oct,1.6074,1.629,1.67
Nov-14,503,Nov,1.5771,1.6074,1.629
Dec-14,504,Dec,1.5644,1.5771,1.6074
Jan-15,505,Jan,1.5142,1.5644,1.5771
Feb-15,506,Feb,1.5329,1.5142,1.5644
Mar-15,507,Mar,1.4958,1.5329,1.5142
Apr-15,508,Apr,1.4968,1.4958,1.5329
May-15,509,May,1.5456,1.4968,1.4958
Jun-15,510,Jun,1.5576,1.5456,1.4968
Jul-15,511,Jul,1.556,1.5576,1.5456
Aug-15,512,Aug,1.5578,1.556,1.5576
Sep-15,513,Sep,1.5338,1.5578,1.556
Oct-15,514,Oct,1.5343,1.5338,1.5578
Nov-15,515,Nov,1.5194,1.5343,1.5338
Dec-15,516,Dec,1.4981,1.5194,1.5343
Jan-16,517,Jan,1.4392,1.4981,1.5194
Feb-16,518,Feb,1.429,1.4392,1.4981
Mar-16,519,Mar,1.4249,1.429,1.4392
Apr-16,520,Apr,1.4319,1.4249,1.429
May-16,521,May,1.4524,1.4319,1.4249
Jun-16,522,Jun,1.4197,1.4524,1.4319
Jul-16,523,Jul,1.3134,1.4197,1.4524
Aug-16,524,Aug,1.3101,1.3134,1.4197
Sep-16,525,Sep,1.314,1.3101,1.3134
Oct-16,526,Oct,1.233,1.314,1.3101
Nov-16,527,Nov,1.2432,1.233,1.314
Dec-16,528,Dec,1.2483,1.2432,1.233
Jan-17,529,Jan,1.2367,1.2483,1.2432
