Month,Air RPM,Rail PM,VMT
Apr-93,"40,814,097,000","562,429,065","188,709,000,000"
May-93,"42,133,943,000","554,039,017","205,952,000,000"
Jun-93,"44,679,864,000","580,500,717","199,386,000,000"
Jul-93,"48,622,037,000","586,861,727","209,809,000,000"
Aug-93,"50,451,675,000","611,839,976","209,603,000,000"
Sep-93,"41,677,832,000","501,353,952","193,737,000,000"
Oct-93,"43,264,475,000","507,702,230","197,764,000,000"
Nov-93,"38,868,799,000","489,299,178","182,296,000,000"
Dec-93,"40,610,043,000","503,041,903","186,802,000,000"
Jan-94,"38,863,562,000","472,917,856","169,314,000,000"
Feb-94,"36,068,535,000","463,567,851","166,445,000,000"
Mar-94,"45,433,842,000","572,167,273","196,189,000,000"
Apr-94,"42,418,163,000","546,898,075","195,408,000,000"
May-94,"44,297,210,000","524,008,197","206,595,000,000"
Jun-94,"48,169,096,000","531,971,149","207,281,000,000"
Jul-94,"52,410,979,000","578,257,564","214,777,000,000"
Aug-94,"53,235,052,000","587,229,076","215,046,000,000"
Sep-94,"44,677,623,000","490,032,783","200,511,000,000"
Oct-94,"45,845,403,000","493,619,903","202,864,000,000"
Nov-94,"42,230,318,000","477,594,716","190,073,000,000"
Dec-94,"43,868,116,000","490,779,357","193,086,000,000"
Jan-95,"42,050,940,000","425,207,429","183,617,000,000"
Feb-95,"38,580,784,000","393,268,412","172,522,000,000"
Mar-95,"47,390,145,000","489,360,683","202,408,000,000"
Apr-95,"45,427,499,000","490,903,635","199,527,000,000"
May-95,"45,915,722,000","511,120,586","213,564,000,000"
Jun-95,"49,992,583,000","542,693,418","212,282,000,000"
Jul-95,"53,345,749,000","571,259,638","217,719,000,000"
Aug-95,"54,776,466,000","580,982,161","219,873,000,000"
Sep-95,"45,589,237,000","451,385,426","204,323,000,000"
Oct-95,"46,993,036,000","441,202,778","206,990,000,000"
Nov-95,"43,703,386,000","435,470,011","195,409,000,000"
Dec-95,"45,015,358,000","444,598,571","194,585,000,000"
Jan-96,"42,734,234,000","362,022,328","183,737,000,000"
Feb-96,"43,056,589,000","343,413,949","176,819,000,000"
Mar-96,"51,646,570,000","416,042,895","204,469,000,000"
Apr-96,"48,063,492,000","425,092,726","205,557,000,000"
May-96,"49,808,809,000","467,573,082","218,999,000,000"
Jun-96,"53,774,378,000","476,554,648","215,871,000,000"
Jul-96,"56,576,582,000","525,954,361","225,440,000,000"
Aug-96,"58,714,135,000","551,695,523","229,385,000,000"
Sep-96,"47,857,913,000","412,344,840","207,908,000,000"
Oct-96,"49,873,317,000","425,991,795","215,972,000,000"
Nov-96,"44,696,485,000","389,249,720","199,937,000,000"
Dec-96,"49,361,193,000","437,256,586","201,754,000,000"
Jan-97,"46,692,784,000","337,798,678","190,126,000,000"
Feb-97,"43,761,932,000","337,893,100","183,951,000,000"
Mar-97,"54,755,166,000","416,925,515","211,952,000,000"
Apr-97,"50,182,894,000","408,488,665","211,290,000,000"
May-97,"51,979,543,000","444,032,624","226,082,000,000"
Jun-97,"55,462,027,000","481,053,743","222,254,000,000"
Jul-97,"58,771,317,000","540,293,509","236,713,000,000"
Aug-97,"60,496,856,000","552,486,079","233,497,000,000"
Sep-97,"50,076,953,000","425,814,893","213,548,000,000"
Oct-97,"51,846,329,000","445,858,326","221,219,000,000"
Nov-97,"47,743,798,000","441,249,575","202,422,000,000"
Dec-97,"50,414,361,000","454,400,575","207,322,000,000"
Jan-98,"47,290,992,000","371,355,589","196,871,000,000"
Feb-98,"44,641,209,000","326,874,247","187,167,000,000"
Mar-98,"54,453,961,000","426,172,239","214,222,000,000"
Apr-98,"53,044,174,000","447,877,815","217,921,000,000"
May-98,"54,302,581,000","462,341,914","227,901,000,000"
Jun-98,"57,335,447,000","482,325,897","228,732,000,000"
Jul-98,"59,441,840,000","537,481,124","239,944,000,000"
Aug-98,"60,813,085,000","526,444,502","237,143,000,000"
Sep-98,"49,560,508,000","430,364,874","219,461,000,000"
Oct-98,"53,463,147,000","444,719,403","228,523,000,000"
Nov-98,"49,561,082,000","427,669,956","211,178,000,000"
Dec-98,"51,024,977,000","459,051,399","216,304,000,000"
Jan-99,"48,861,094,000","384,824,724","194,436,000,000"
Feb-99,"46,158,194,000","350,270,063","192,333,000,000"
Mar-99,"57,761,057,000","436,837,107","221,739,000,000"
Apr-99,"54,968,382,000","435,360,347","221,979,000,000"
May-99,"55,469,960,000","450,054,655","231,814,000,000"
Jun-99,"59,918,608,000","496,553,598","237,016,000,000"
Jul-99,"64,397,523,000","543,923,323","244,198,000,000"
Aug-99,"63,752,132,000","528,001,216","242,568,000,000"
Sep-99,"53,733,696,000","393,137,094","225,303,000,000"
Oct-99,"57,407,208,000","425,897,553","234,661,000,000"
Nov-99,"53,866,781,000","421,595,015","222,831,000,000"
Dec-99,"52,331,272,000","442,742,459","222,458,000,000"
Jan-00,"49,745,428,000","366,607,410","203,582,000,000"
Feb-00,"49,876,910,000","366,139,276","199,638,000,000"
Mar-00,"61,378,569,000","453,096,388","232,627,000,000"
Apr-00,"58,981,617,000","473,751,011","227,808,000,000"
May-00,"61,165,486,000","481,725,263","242,108,000,000"
Jun-00,"65,524,091,000","517,102,460","243,012,000,000"
Jul-00,"67,883,256,000","564,747,276","245,083,000,000"
Aug-00,"66,924,512,000","558,060,051","247,770,000,000"
Sep-00,"56,441,629,000","446,489,429","227,328,000,000"
Oct-00,"58,834,210,000","462,329,685","236,554,000,000"
Nov-00,"56,283,261,000","442,268,378","222,799,000,000"
Dec-00,"55,380,280,000","461,651,082","218,436,000,000"
1-Jan,"53,129,922,000","379,458,113","209,259,000,000"
1-Feb,"49,992,995,000","366,288,212","199,909,000,000"
1-Mar,"62,323,049,000","448,912,584","231,489,000,000"
1-Apr,"59,801,562,000","455,496,342","231,365,000,000"
1-May,"60,246,477,000","462,376,555","244,252,000,000"
1-Jun,"64,987,625,000","528,690,495","242,579,000,000"
1-Jul,"68,573,410,000","564,037,290","248,785,000,000"
1-Aug,"69,003,617,000","562,266,005","251,688,000,000"
1-Sep,"39,106,905,000","446,266,947","224,571,000,000"
1-Oct,"44,271,037,000","452,095,235","240,000,000,000"
1-Nov,"45,245,063,000","446,094,295","229,479,000,000"
1-Dec,"48,167,518,000","479,188,434","228,087,000,000"
2-Jan,"46,587,818,000","398,440,459","213,808,000,000"
2-Feb,"45,157,533,000","397,948,828","206,462,000,000"
2-Mar,"57,423,155,000","461,087,451","234,005,000,000"
2-Apr,"53,013,066,000","453,147,413","234,809,000,000"
2-May,"55,663,570,000","461,648,459","249,886,000,000"
2-Jun,"60,224,150,000","499,751,748","246,389,000,000"
2-Jul,"62,570,110,000","564,046,073","254,194,000,000"
2-Aug,"62,881,793,000","516,103,068","256,244,000,000"
2-Sep,"48,925,997,000","385,097,846","230,597,000,000"
2-Oct,"52,779,975,000","399,248,774","243,289,000,000"
2-Nov,"48,902,677,000","375,996,408","228,389,000,000"
2-Dec,"55,355,434,000","448,246,102","231,262,000,000"
3-Jan,"50,602,700,000","393,287,373","216,600,000,000"
3-Feb,"46,455,943,000","390,041,481","201,900,000,000"
3-Mar,"56,033,121,000","472,573,962","236,700,000,000"
3-Apr,"51,146,721,000","483,653,074","238,100,000,000"
3-May,"53,591,384,000","489,484,678","253,200,000,000"
3-Jun,"59,426,357,000","531,138,943","252,000,000,000"
3-Jul,"65,041,408,000","578,767,927","261,300,000,000"
3-Aug,"64,095,456,000","557,897,322","259,600,000,000"
3-Sep,"51,347,366,000","427,807,444","236,000,000,000"
3-Oct,"55,810,667,000","463,025,617","253,400,000,000"
3-Nov,"53,249,129,000","448,181,812","233,300,000,000"
3-Dec,"57,795,908,000","489,403,554","237,600,000,000"
4-Jan,"53,447,972,000","410,338,691","217,300,000,000"
4-Feb,"52,608,801,000","389,778,365","210,400,000,000"
4-Mar,"63,600,019,000","453,014,590","247,500,000,000"
4-Apr,"61,887,720,000","471,116,666","245,400,000,000"
