Month,Air Revenue Passenger Miles,Rail Passenger Miles,Vehicle Miles Travelled 
Apr-03,51.15,0.48,238.10
May-03,53.59,0.49,253.20
Jun-03,59.43,0.53,252.00
Jul-03,65.04,0.58,261.30
Aug-03,64.10,0.56,259.60
Sep-03,51.35,0.43,236.00
Oct-03,55.81,0.46,253.40
Nov-03,53.25,0.45,233.30
Dec-03,57.80,0.49,237.60
Jan-04,53.45,0.41,217.30
Feb-04,52.61,0.39,210.40
Mar-04,63.60,0.45,247.50
Apr-04,61.89,0.47,245.40
