Month,Air RPM,Rail PM,VMT
Aug-02,38575165000.00,397948828.00,179062119687.79
Sep-02,38481957000.00,393287373.00,178680685638.55
Oct-02,38419672000.00,393268412.00,178417577159.22
Nov-02,38173223000.00,393137094.00,178065364212.94
Dec-02,37981886000.00,390041481.00,177618000000.00
Jan-03,37911556000.00,389778365.00,176819000000.00
Feb-03,37444088000.00,389249720.00,172769097074.54
Mar-03,37294373000.00,385097846.00,172522000000.00
Apr-03,37146602000.00,384824724.00,171655000000.00
May-03,36863415000.00,379458113.00,171225987744.40
Jun-03,36202993000.00,375996408.00,169679970920.23
Jul-03,36068535000.00,371355589.00,169314000000.00
Aug-03,35699216000.00,366607410.00,168287533712.20
Sep-03,35265807000.00,366288212.00,167886000000.00
Oct-03,35153577000.00,366139276.00,166445000000.00
Nov-03,34902869000.00,362022328.00,163275383526.94
Dec-03,34848290000.00,350270063.00,162820000000.00
Jan-04,34688141000.00,343413949.00,160425000000.00
Feb-04,33868884000.00,337893100.00,157876834362.41
Mar-04,32965187000.00,337798678.00,153339406663.77
Apr-04,29672427000.00,326874247.00,153254408768.44
